time,id
174847,ba71033c
174849,d2f3fb0b
174853,e2889a0c
174855,324bfa0b
174857,b27d1f0c
174859,2275f70b
174901,1249fb0b
174903,8262f20b
174905,0cdc290b
175104,d2f3fb0b
175107,e2889a0c
175111,324bfa0b
175118,72c8970c
175121,e2ae200c
175124,3274440c
175126,e282200c
175129,0cdc290b
175135,8262f20b
175139,1249fb0b
175701,ba71033c
175703,45880daa
175709,d2f3fb0b
175711,e2889a0c
175713,324bfa0b
175716,b27d1f0c
175725,e2889a0c
175728,324bfa0b
175733,2275f70b
175733,1249fb0b
175854,ba71033c
175857,45880daa
180018,ba71033c
180031,45880daa
180102,e2ae200c
180242,ba71033c
180244,45880daa
180448,e2ae200c
180450,72c8970c
180520,b27d1f0c
180522,2275f70b
180617,ba71033c
181009,ba71033c
181016,45880daa
181022,72c8970c
181025,e2ae200c
181028,3274440c
181432,45880daa
181435,ba71033c
181439,3274440c
181442,e2ae200c
181445,72c8970c
181448,e282200c
181455,0cdc290b
181458,8262f20b
181559,ba71033c
181601,45880daa
181606,72c8970c
181607,e2ae200c
181610,3274440c
181612,0cdc290b
181614,8262f20b
181658,d2f3fb0b
181701,e2889a0c
181705,324bfa0b
181753,ba71033c
181825,ba71033c
181828,45880daa
181830,72c8970c
181902,ba71033c
181904,45880daa
181909,72c8970c
181911,e2ae200c
181913,3274440c
181916,0cdc290b
181918,8262f20b
182156,45880daa
182159,ba71033c
182245,45880daa
182248,ba71033c
182256,8262f20b
182259,0cdc290b
182302,3274440c
182341,45880daa
182347,ba71033c
182424,45880daa
182426,ba71033c
182438,8262f20b
182441,0cdc290b
182512,45880daa
182515,45880daa
182517,ba71033c
182523,ba71033c
182525,8262f20b
182712,e2889a0c
182714,d2f3fb0b
182716,324bfa0b
182718,b27d1f0c
182720,1249fb0b
182724,1249fb0b
182734,ba71033c
183413,ba71033c
183414,ba71033c
183426,45880daa
183428,ba71033c
183432,8262f20b
183434,0cdc290b
183436,3274440c
183459,ba71033c
183501,45880daa
183503,8262f20b
183505,0cdc290b
183508,3274440c
183510,e2ae200c
183513,72c8970c
183516,e282200c
183518,1249fb0b
183519,2275f70b
183542,ba71033c
183544,45880daa
183547,8262f20b
183549,0cdc290b
183551,3274440c
183553,e2ae200c
183556,72c8970c
183558,e282200c
183602,1249fb0b
183700,ba71033c
183702,45880daa
183704,8262f20b
183706,0cdc290b
183709,3274440c
183711,e2ae200c
183714,72c8970c
183717,e282200c
183719,1249fb0b
183721,2275f70b
183724,e2889a0c
183726,d2f3fb0b
183729,324bfa0b
183732,b27d1f0c
183810,ba71033c
184449,d2f3fb0b
184453,2275f70b
184457,2275f70b
184733,1249fb0b
184736,1249fb0b
184740,3274440c
184833,324bfa0b
184835,d2f3fb0b
184844,e2889a0c
184848,2275f70b
184853,2275f70b
184859,1249fb0b
184907,e282200c
184915,72c8970c
184919,e2ae200c
184923,3274440c
184929,0cdc290b
184933,8262f20b
184936,b27d1f0c
184952,45880daa
184955,ba71033c
184958,1249fb0b
185002,2275f70b
185004,e2889a0c
185005,d2f3fb0b
185008,324bfa0b
185012,e282200c
185015,72c8970c
185016,72c8970c
185018,3274440c
185702,45880daa
185703,ba71033c
204055,ba71033c
204057,45880daa
204104,e282200c
204107,324bfa0b
204111,d2f3fb0b
204114,e2889a0c
204119,2275f70b
204121,1249fb0b
204124,72c8970c
204127,e2ae200c
204135,e2ae200c
231917,45880daa
232032,45880daa
232111,d2f3fb0b
232117,e282200c
232140,324bfa0b
232228,e2889a0c
232232,2275f70b
232237,1249fb0b
232240,72c8970c
232302,45880daa
232312,45880daa
232324,72c8970c
234741,72c8970c
234751,72c8970c
234905,72c8970c
234913,1249fb0b
235603,1249fb0b
235607,2275f70b
235620,e2889a0c
235623,72c8970c
235707,1249fb0b
235926,1249fb0b
235931,2275f70b
000204,1249fb0b
000207,2275f70b
000210,e2889a0c
000213,72c8970c
000216,324bfa0b
000233,324bfa0b
000427,324bfa0b
000430,72c8970c
000432,e282200c
000434,e2889a0c
000435,2275f70b
000439,d2f3fb0b
000444,1249fb0b
000451,b27d1f0c
000453,8262f20b
000455,0cdc290b
000548,0cdc290b
000554,8262f20b
000609,0cdc290b
000614,8262f20b
000619,b27d1f0c
000638,e2ae200c
000641,3274440c
000702,e2ae200c
000725,e2ae200c
000729,3274440c
000733,b27d1f0c
000738,8262f20b
000742,0cdc290b
000813,0cdc290b
000816,8262f20b
000819,b27d1f0c
000822,3274440c
000929,3274440c
000935,b27d1f0c
000957,b27d1f0c
001005,b27d1f0c
001008,3274440c
001014,3274440c
001025,3274440c
001029,b27d1f0c
001038,b27d1f0c
001041,3274440c
001121,b27d1f0c
001130,3274440c
001216,b27d1f0c
001218,3274440c
001233,b27d1f0c
001235,3274440c
001257,3274440c
001625,3274440c
001627,b27d1f0c
001646,b27d1f0c
001649,3274440c
001654,8262f20b
002154,8262f20b
002158,0cdc290b
002200,0cdc290b
002202,e2ae200c
002205,1249fb0b
002207,d2f3fb0b
002209,2275f70b
002211,e2889a0c
002214,e282200c
002218,72c8970c
002222,324bfa0b
002225,72c8970c
003857,72c8970c
003923,72c8970c
004014,72c8970c
004024,72c8970c
004223,72c8970c
004227,e282200c
004300,72c8970c
004431,72c8970c
004444,3274440c
004447,72c8970c
004455,e282200c
004501,b27d1f0c
004506,8262f20b
004511,0cdc290b
004653,324bfa0b
004717,324bfa0b
004723,0cdc290b
004730,8262f20b
004749,72c8970c
004825,8262f20b
004835,8262f20b
004858,8262f20b
004911,324bfa0b
004941,d2f3fb0b
004952,3274440c
005007,3274440c
005053,d2f3fb0b
005130,d2f3fb0b
005149,d2f3fb0b
005200,72c8970c
005231,3274440c
005323,3274440c
005326,d2f3fb0b
005329,8262f20b
005331,0cdc290b
005334,324bfa0b
005801,e2889a0c
005805,324bfa0b
005826,0cdc290b
005840,0cdc290b
005845,8262f20b
005855,0cdc290b
005857,8262f20b
005918,8262f20b
005956,8262f20b
010004,8262f20b
010011,8262f20b
010012,8262f20b
010022,8262f20b
010030,8262f20b
010037,8262f20b
010045,8262f20b
010056,8262f20b
010059,0cdc290b
010104,3274440c
010123,3274440c
010126,d2f3fb0b
010128,0cdc290b
010130,8262f20b
010133,324bfa0b
010155,e2889a0c
010159,2275f70b
010340,324bfa0b
010414,8262f20b
010419,8262f20b
010425,8262f20b
010428,0cdc290b
010431,d2f3fb0b
010433,3274440c
010435,e2889a0c
010438,2275f70b
010441,1249fb0b
010542,1249fb0b
010557,1249fb0b
010647,1249fb0b
010715,1249fb0b
010732,1249fb0b
010812,1249fb0b
010832,2275f70b
010835,e2889a0c
010837,3274440c
010839,d2f3fb0b
010841,0cdc290b
010844,8262f20b
010846,324bfa0b
010848,e2ae200c
011428,e2ae200c
011442,324bfa0b
011444,8262f20b
011447,0cdc290b
011558,8262f20b
